,French text, Expected text,Predicted text
2224,je déteste ça,i hate this,i hate this                                            
2253,jaime le rock,i like rock,do you like the way                                          
2254,jaime cela,i like that,does you know that                                           
2257,je lapprécie,i like this,i love it                                            
2280,cest dans la poche ,i nailed it,what was in the garden the                                         
2283,il me faut de la nourriture,i need food,i need to change                                           
2287,jen ai besoin,i need some,i need it immediately                                           
2288,il me faut ça,i need that,i liked this                                            
2301,jy suis opposé,i oppose it,those that                                             
2321,je devrais partir,i should go,i should leave                                            
2375,jy étais,i was there,i had                                             
2436,je suis sûr,im certain,happy that                                             
2472,je suis mariée,im married,a                                              
2476,je ne suis pas une idiote,im no fool,no a                                             
2502,je suis égoïste,im selfish,single                                              
2507,je suis bourré,im sloshed,a am of                                            
2530,je suis piégée,im trapped,a dancer                                             
2557,tom ne risquetil rien ,is tom safe,tom know                                             
2559,estce que tom est sûr ,is tom sure,is tom is                                            
2597,cétait long,it was long,it you it lot                                           
2637,continuez dessayer,keep trying,just a moving                                            
2645,dansons,lets dance,i                                              
2648,on sy met ,lets do it,we of ten                                            
2653,célébrons,lets party,do it contented                                            
2662,le déjeuner est prêt,lunch is on,dinner is                                             
2675,mémorisezle,memorize it,do you                                             
2710,sil te plaît chante ,please sing,please help me again                                           
2714,restez sil vous plaît,please stay,please take                                             
2726,relâchezle ,release him,do you                                             
2775,prends une carte,take a card,take a                                             
2800,cest gratuit,thats free,the bicycle is me                                           
2808,cest minable,thats lame,are you like                                            
2817,la télé est allumée,the tvs on,the music is getting                                           
2824,ils lont eue,they got it,they                                              
2832,ils sont mauvais,theyre bad,they                                              
2840,cest mauvais,this is bad,its so                                             
2841,cest gros,this is big,is it help                                            
2894,tom est drôle,toms funny,tom is                                             
2895,tom est rigolo,toms funny,tom is a                                            
2916,étaitce bon ,was it good,do you                                             
2931,nous éclatâmes de rire,we broke up,we look anxiously laugh                                           
2953,nous laimons bien,we like him,well we                                             
2963,nous avons promis,we promised,we swam him                                            
2969,nous voulons tom,we want tom,we want  tom                                           
2983,nous sommes en colère,were angry,were                                              
2991,nous sommes en train de mourir,were dying,were quite                                             
2995,nous sommes prêtes,were ready,were ready                                             
3006,nous sommes jumeaux,were twins,we smashed                                             
3067,vous êtes grand,you are big,big                                              
3114,tu es perdue,youre lost,in                                              
3119,vous êtes sympa,youre nice,jealous                                              
3149,vous êtes malade,youre sick,be look                                             
3156,vous êtes raisonnables,youre wise,lazy                                              
3191,êtesvous occupée ,are you busy,are you busy                                            
3207,êtesvous à la maison ,are you home,did he at home                                           
3210,êtesvous blessé ,are you hurt,is anyone hurt                                            
3228,êtesvous sûre ,are you sure,do you like                                            
3231,êtesvous sûr ,are you sure,are you sure                                            
3254,rappellemoi,call me back,do you                                             
3261,je peux essayer ,can i try it,i could stop it                                           
3282,venez maider,come help me,are up you                                            
3306,remplacemoi,cover for me,do you                                             
3341,ne fais pas la tête,dont be mad,call like to answer                                           
3352,ne me charrie pas ,dont kid me,make me                                             
3409,prendsen un autre,have another,give me a                                            
3410,il mévite,he avoids me,helping will                                             
3411,il se pourrait quil meure,he could die,he is not yet                                           
3413,il le nia,he denied it,he is me  the                                          
3437,il ma laissé partir,he let me go,he wanted to go                                           
3440,il me laissa men aller,he let me go,he just to  leave                                          
3483,cest bien embêtant ,how annoying,do they                                             
3484,quelle arrogance ,how arrogant,what favorite will you                                           
3516,je tai appelée,i called you,i called it                                            
3532,jai également pleuré,i cried too,did looked cried                                            
3542,je nai pas demandé,i didnt ask,i ask for                                            
3553,je ne sors pas avec un garçon,i dont date,i worry to a                                           
3562,jy ai pris plaisir,i enjoyed it,i already enjoy stop                                           
3569,je me sens pris de malaise,i feel faint,i like feeling                                            
3581,je me sens stupide,i feel silly,i feel like a                                           
3603,on ma attrapée,i got caught,i had the                                            
3604,on ma largué,i got dumped,i was warned                                            
3624,jai un chien,i have a dog,i used to a                                           
3645,jai aidé tom,i helped tom,i heard tom                                            
3663,japprécie lopéra,i like opera,do you                                             
3675,jadore les blagues,i love jokes,i love                                             
3686,jai fait ceuxci,i made these,what did doing                                            
3718,il me faut de leau,i need water,i need to                                            
3740,je le suppose,i suppose so,i suppose                                             
3747,jai essayé de toutes mes forces,i tried hard,i gone to things all talking                                         
3764,jai été frappée,i was beaten,i was distracted                                            
3767,on ma saqué,i was canned,i had a                                            
3774,jai été secouée,i was shaken,i was distracted                                            
3783,je my suis rendu à deux reprises,i went twice,i majored marrying of                                           
3818,je lattraperai,ill grab it,i love it                                            
3829,je te ferai un procès,ill sue you,ill give you a some you                                         
3831,je vous ferai un procès,ill sue you,ill give you some  you                                         
3833,jen suis sûr à 99,im 99 sure,are to of cold it                                          
3850,je suis un génie,im a genius,a am a                                            
3868,je suis en train de saigner,im bleeding,                                              
3870,je me mélange les pinceaux,im confused,i stand the at them                                          
3879,je suis fidèle,im faithful,a of                                             
3883,jai terminé,im finished,i you finished                                            
3954,je suis fiable,im reliable,i am being                                            
3966,je suis si fatiguée,im so tired,so tired                                             
4006,je lai fait,ive done it,i did it                                            
4025,estce une bonne affaire ,is it a deal,a  misunderstanding                                            
4027,sagitil dun cerf ,is it a deer,do it                                             
4056,seraitce de lamour ,is this love,do you about some                                           
4076,cétait la nuit,it was night,here is the                                            
4082,il va faire chaud,itll be hot,its make to                                            
4125,cest notre voiture,its our car,our yourself a                                            
4148,continue à courir,keep running,keep searching                                             
4160,montrez le chemin,lead the way,do you read the book                                          
4180,la vie continue,life goes on,head the fun                                            
4195,les hommes sont des égoïstes,men are pigs,the men were set alike                                          
4208,personne na bougé,no one moved,no one is                                            
4211,personne na demandé,nobody asked,no one give me                                           
4226,jouela pépère,play it cool,i you away                                            
4256,elle est jeune,she is young,she is with                                            
4295,arrête de me fixer ,stop staring,stop follow me                                            
4304,cesse de hurler ,stop yelling,stop screaming                                             
4344,ils approuvent,they approve,they swam him                                            
4345,elles approuvent,they approve,they are it                                            
4421,il sagit du mien,this is mine,it was hard                                            
4424,cest à nous,this is ours,were ours                                             
4478,tom est effrayé,toms scared,tom is                                             
4486,essaie encore,try it again,try it that                                            
4503,attends dehors,wait outside,take to                                             
4534,nous nous sommes rencontrées aujourdhui,we met today,were out                                             
4584,nous sommes normales,were normal,were                                              
4600,soyez de nouveau la bienvenue ,welcome back,be little look around                                           
4604,quel culot ,what a nerve,what favorite of you using                                          
4608,quelle soirée ,what a night,what way do you work with                                         
4626,qui sontelles ,who are they,who is you                                            
4655,vivratil ,will he live,do you                                             
4688,je ten prie,you go first,help we please                                            
4769,tu es intelligent,youre smart,very                                              
4780,vous êtes dure,youre tough,the                                              
4795,tom a été heurté par une voiture,a car hit tom,tom was a  car                                          
4809,de quelconques questions ,any questions,give you to  questions                                          
4920,ferme la boîte,close the box,shut the door                                            
4938,tom sestil battu ,did tom fight,tom looks                                             
4956,faitesle vite ,do it quickly,lets ready quickly                                            
4995,ne faites pas ça ,dont do this,do that                                             
5007,ne me tuez pas ,dont kill me,turn miss                                             
5021,ne veille pas,dont wait up,take get                                             
5022,ne veillez pas,dont wait up,turn up                                             
5024,trace un cercle ,draw a circle,draw a circle                                            
5046,reviens ici ,get back here,come over                                             
5049,prenez quelque repos ,get some rest,take so these                                            
5057,donnelui du temps,give him time,do you some for                                           
5065,serrezmoi dans vos bras ,give me a hug,hug her                                             
5069,dieu vous bénisse ,god bless you,god bless you                                            
5079,accrochezvous bien ,hang on tight,is behave yourselves                                            
5082,prends du jambon,have some ham,take your the water                                           
5090,il a pété les plombs,he cracked up,he was his country                                           
5095,il a creusé un trou,he dug a hole,he found a  question                                          
5133,il ma menti,he lied to me,he was me                                            
5141,il a lair en bonne santé,he looks well,it was a                                            
5193,il nest pas à la maison,hes not home,he is home                                            
5200,il étudie,hes studying,he is                                             
5206,il est ton fils,hes your son,he is a                                            
5231,comme cest excitant ,how thrilling,how exciting                                             
5255,je ne suis pas sourd,i am not deaf,i find                                             
5267,cest ici quest ma place,i belong here,it take my of                                           
5268,je lai emprunté,i borrowed it,i pay                                             
5269,je lai empruntée,i borrowed it,i following it                                            
5321,je nai pas regardé,i didnt look,i sleep                                             
5322,je nai pas bougé,i didnt move,i like                                             
5333,je ne danse pas,i dont dance,i was it                                            
5338,je ne ronfle pas,i dont snore,i take it                                            
5351,je nourris le chien,i fed the dog,i care the dog the                                          
5360,je me sens assez seul,i feel lonely,i feel living                                            
5363,je me sens normal,i feel normal,i feel bad                                            
5386,jai fini par lemporter,i finally won,i you finished the day                                          
5392,jai trouvé ceuxci,i found these,i found                                             
5402,jai été arnaqué,i got scammed,i was distracted                                            
5414,il me fallait rester,i had to stay,i just to                                            
5429,je déteste avoir le dessous,i hate losing,i hate to the  rain                                         
5443,jai une jumelle,i have a twin,i was a simple                                           
5507,jai perdu mon chien,i lost my dog,i chair my dog                                           
5512,jadore larabe,i love arabic,do you                                             
5517,jadore lautomne,i love autumn,do you                                             
5519,jadore les chameaux,i love camels,do love cops                                            
5570,jai besoin dêtre véhiculé,i need a ride,i need a snack                                           
5589,je passe avant toi,i outrank you,here come here                                            
5620,je vous respecte,i respect you,i calls you                                            
5663,je veux un poney,i want a pony,i want a second                                           
5665,je veux tout,i want it all,i want to agree                                           
5680,jétais curieuse,i was curious,i was very                                            
5699,jétais en train de chanter,i was singing,are i japanese to                                           
5716,je suis montée à bord,i went aboard,i am into of                                           
5717,je suis monté à bord,i went aboard,i turned out the                                           
5731,jai porté un masque,i wore a mask,a   eye                                           
5732,je travaille de nuit,i work nights,i sleep  night                                           
5756,je continuerai,ill go ahead,i like                                             
5759,je vais y aller en premier,ill go first,going to go                                            
5776,je te dirai,ill tell you,ill tell you                                            
5798,je vais bien,im all right,going you                                             
5801,je suis toute à toi,im all yours,all home                                             
5814,je suis bilingue,im bilingual,a dancer                                             
5829,je suis ravie,im delighted,i                                              
5833,je suis différente,im different,i went student                                            
5846,je suis distrait,im forgetful,a dancer                                             
5849,je suis étourdie,im forgetful,a dancer                                             
5868,je suis motivée,im motivated,totally                                              
5876,je ne suis pas une gamine,im not a kid,no a                                             
5884,je ne suis pas fou,im not crazy,not crazy                                             
5892,je ne suis pas heureuse,im not happy,not happy                                             
5894,je ne suis pas en train de mentir,im not lying,not lying to                                            
5904,je ne suis pas jeune,im not young,not am                                             
5920,je suis endurant,im resilient,a dancer                                             
5928,je suis si seule,im so lonely,i am id i                                           
5931,je suis surprise,im surprised,a hurried                                             
5935,je suis lentraîneur,im the coach,i                                              
5948,je suis votre chef,im your boss,your boss                                             
5956,je dispose de temps,ive got time,i have a for                                           
6067,cest complètement terminé,its all over,are you still recovered                                           
6072,cest à proximité,its close by,make it away                                            
6144,gardez tom en sécurité,keep tom safe,stay be                                             
6190,la chance est aveugle,luck is blind,the game is over                                           
6194,faites une offre,make an offer,be a good                                            
6212,puisje aller chez moi ,may i go home,do you come at                                           
6216,mon chien est grand,my dog is big,my dog is dirty                                           
6242,ouvre le coffre ,open the safe,do the bus of                                           
6247,choisis un nombre ,pick a number,write the date                                            
6261,lisezlamoi ,read it to me,do you                                             
6273,scelle la pièce,seal the room,rather the                                             
6289,elle le haïssait,she hated him,she watched the him                                           
6295,elle est française,she is french,she is out                                            
6313,elle a lair triste,she seems sad,she seems being                                            
6319,elle était naïve,she was naive,she was                                             
6326,elle est mon genre,shes my type,my                                              
6393,les goûts varient,tastes differ,the love have out                                           
6402,cétait méchant,that was mean,i they stop                                            
6437,cest mon garçon,thats my boy,my is my                                            
6441,cest ma chatte,thats my cat,the me my mine                                           
6452,cest con,thats stupid,i was                                             
6458,les filles lemportèrent,the girls won,                                              
6467,elles sont toutes mortes,they all died,they dead all                                            
6512,ils sont fous,theyre crazy,they                                              
6515,elles sont saoules,theyre drunk,they                                              
6533,ils ont tort ,theyre wrong,they arrested                                             
6558,cest incorrect,this is wrong,do is all                                            
6583,tom ma largué,tom dumped me,tom disappointed                                             
6590,tom avait une arme,tom had a gun,tom has a  memory                                          
6602,tom est dodu,tom is chubby,tom is a                                            
6624,tom sest réveillé trop tard,tom overslept,tom will be late                                           
6663,tom est blessé,toms wounded,tom is                                             
6671,attends une minute,wait a minute,wait a  minute                                           
6677,attends jusquà dixhuit heures,wait till six,wait the morning                                            
6687,regarde de près ,watch closely,look at                                             
6696,nous sommes toutes tombées daccord,we all agreed,were all witnesses                                            
6712,nous pouvions lire,we could read,we made it that                                           
6730,il nous faut nous focaliser,we must focus,we must we                                            
6732,il nous faut partir,we must leave,we must go                                            
6749,il nous faut de leau,we need water,we have to                                            
6760,nous vous voulions,we wanted you,i want to                                            
6761,nous étions seuls,we were alone,we were alone                                            
6775,on va le trouver,well find it,we find that                                            
6794,nous sommes ennemies,were enemies,were ruined                                             
6810,nous partons,were leaving,were saving                                             
6818,nous lisons,were reading,we succeeded it                                            
6842,nous en avons fini,were through,we lost                                             
6844,nous sommes touchés,were touched,were ruined                                             
6870,astu été blessée ,were you hurt,been was hurt                                            
6886,questce qui sest passé ,what happened,who been it                                            
6898,lequel est le mien ,which is mine,which is                                             
6903,qui vous a recruté ,who hired you,who taught you the                                           
6915,qui est rentré,whos at home,who is where                                            
6931,tu es bourré ,you are drunk,off                                              
6968,il faut que tu te reposes,you must rest,you need to  back                                          
6969,tu dois rester,you must stay,you must to stay                                           
6984,voulezvous ceci ,you want this,lets you like this                                           
6988,vous avez été vu,you were seen,been did you                                            
6994,tu es un amour ,youre a doll,a love                                             
7015,vous êtes brillantes,youre bright,lazy                                              
7019,vous êtes maline,youre clever,clever                                              
7028,tu es astucieux,youre crafty,you                                              
7049,vous êtes grognon,youre grumpy,big                                              
7074,tu es maigrichon,youre skinny,off                                              
7080,vous êtes endormies,youre sleepy,big                                              
7089,vous êtes grossière,youre vulgar,in                                              
7092,vous avez échoué,youve failed,you                                              
7119,êtesvous célèbres ,are you famous,do you contented                                            
7151,sois gentille avec elle,be nice to her,be being to with                                           
7167,offrezmoi un coup ,buy me a drink,lets me a look                                           
7170,appelez un plombier ,call a plumber,lets i like a                                           
7182,puisje voir ça ,can i see that,let me see that                                           
7231,laije cassée ,did i break it,turn catch                                             
7247,tom latil acheté ,did tom buy it,i tom like                                            
7257,êtesvous sortie ,did you go out,i you it end                                           
7265,lavezvous vu ,did you see it,did  see it                                           
7269,estce que je vous ennuie ,do i annoy you,what i think like to you                                         
7284,faites ça comme ça,do it this way,be that                                             
7300,me connaissezvous ,do you know me,would you forgive me                                           
7306,nous connaissezvous ,do you know us,it we                                             
7317,estce quil vous manque ,do you miss it,shall                                              
7340,ne soyez pas naïf ,dont be naive,be silly                                             
7361,ne soyez pas contrariées ,dont be upset,be so                                             
7385,ne dites pas ça,dont say that,say that                                             
7390,ne larrête pas,dont stop him,forget                                              
7395,ne me tentez pas ,dont tempt me,lets me like                                            
7462,donnelelui,give it to him,do you                                             
7471,donnezmoi une semaine,give me a week,give me a week                                           
7506,il vint en bus,he came by bus,he went  bus                                           
7606,il était patient,he was patient,he was                                             
7662,comment puisje perdre ,how can i lose,how did i find a                                          
7675,combien ça fait ,how much is it,how many will you will                                          
7685,comment va votre travail ,hows your job,how you your  work                                          
7707,jai mangé une banane,i ate a banana,i  a potato chips                                          
7717,je vais au travail à bicyclette,i bike to work,i work                                             
7719,jemprunte de largent,i borrow money,do you about some                                           
7725,jai apporté la mienne,i brought mine,they heard the                                            
7730,je peux appeler tom,i can call tom,i can help tom                                           
7746,je lai corrigé,i corrected it,i confessed                                             
7751,je mérite ça,i deserve that,i like it                                            
7761,je nai pas triché,i didnt cheat,i hurried                                             
7779,ça méchappe,i dont get it,it that                                             
7788,je me sens honteuse,i feel ashamed,i feel                                             
7791,je compatis avec toi,i feel for you,i often care for                                           
7802,je me suis sentie trahie,i felt cheated,i felt cheated                                            
7842,jai été expulsé,i got expelled,been was distracted                                            
7857,jétais dépourvue dargent,i had no money,i have a                                            
7929,je filai à la maison,i hurried home,i was it home                                           
7936,je tiens un journal,i keep a diary,looking for a diary                                           
7963,jaime le mahjong,i like mahjong,is anybody else it                                           
8016,jaime cuisiner,i love to cook,                                              
8032,jai peutêtre tort,i may be wrong,i was wrong                                            
8070,jai eu besoin dargent,i needed money,i needed help                                            
8077,je possède cette voiture,i own this car,i like that car that car                                         
8089,je courus à létage,i ran upstairs,i can back school                                           
8096,je me souviens de toi,i remember you,i remember you                                            
8117,jai vu le fichier,i saw the file,i turned the white                                           
8195,jai été offensé,i was offended,i was                                             
8198,jai été gracié,i was pardoned,i was distracted                                            
8201,jétais tellement heureuse,i was so happy,so too happy                                            
8224,je vous ferai un procès,i will sue you,ill give you some  you                                         
8226,je le prendrai,i will take it,ill take it the                                           
8244,je serai direct,ill be direct,ill expect                                             
8287,jattendrai ici,ill wait here,lets live  matter                                           
8290,je suis canadienne,im a canadian,a                                              
8304,je suis contre,im against it,i went with                                            
8308,je suis stupéfaite,im astonished,a dancer                                             
8316,je suis fiable,im dependable,i am being                                            
8327,je suis fascinée,im fascinated,a dancer                                             
8342,je suis analphabète,im illiterate,a dancer                                             
8353,je prépare le thé,im making tea,sometimes tea                                             
8356,je ne baisse pas facilement les bras,im no quitter,i understand ignorant warmth                                           
8369,je ne suis pas grincheuse,im not cranky,not easily                                             
8381,ça ne me fait pas peur,im not scared,that ashamed good                                            
8385,je ne suis pas endormi,im not sleepy,i fall                                             
8395,je suis lun dentre vous,im one of you,on                                              
8436,je suis très petit,im very short,i am a                                            
8454,jai merdé,ive messed up,i messed up                                            
8459,jai vu ça,ive seen that,did you see                                            
8461,je vous ai contrariés,ive upset you,i care you                                            
8463,je vous ai contrariées,ive upset you,i will you                                            
8481,estce terminé ,is it finished,i you finished                                            
8511,estce un vin ,is this a wine,give me a bill                                           
8515,nestil pas effrayant ,isnt it scary,this going of ok                                           
8552,ce ne fut pas facile,it wasnt easy,this easy                                             
