,Spanish text, Expected text,Predicted text
4338,me volví rico,i became rich,i hardly foolishly                                            
4361,yo puedo hacerlo,i can make it,i can do that                                           
4365,no puedo hacerlo,i cant do it,i believe it                                            
4376,yo contribuí,i contributed,i jumped                                             
4390,no me importó,i didnt care,i shut me                                            
4391,yo no sabía,i didnt know,i know                                             
4397,yo no canté,i didnt sing,i get                                             
4400,yo no voté,i didnt vote,i get up                                            
4402,yo no caminé,i didnt walk,i sing                                             
4404,sí tú me gustas,i do like you,does understand  yourself                                           
4406,yo de veras te amo,i do love you,i finally agree and believe                                          
4419,bebo un montón,i drink a lot,i drive a                                            
4425,yo exageré,i exaggerated,i complain                                             
4434,tengo sueño,i feel sleepy,sleepy                                              
4456,yo me puse celoso,i got jealous,i put on ski                                           
4460,yo me puse sediento,i got thirsty,i put out                                            
4468,odio el café,i hate coffee,i hate milk friends                                           
4479,estoy resfriado,i have a cold,on a                                             
4488,tengo una visa,i have a visa,i have a twitter                                           
4490,tengo una mujer,i have a wife,i have a woman                                           
4505,yo escucho sirenas,i hear sirens,i tried to                                            
4534,me gusta el café,i like coffee,i like coffee                                            
4537,me gusta mi trabajo,i like my job,i like reading  job                                          
4560,me encanta el francés,i love french,i love french                                            
4569,amo a mi papá,i love my dad,i love my job                                           
4573,amo a mi hijo,i love my son,i love my son                                           
4580,yo hice un trato,i made a deal,i have a                                            
4604,yo necesito una lámpara,i need a lamp,i need an                                            
4621,yo necesité eso,i needed that,i appreciate that                                            
4626,no bebo nunca,i never drink,ever get                                             
4648,yo te rescaté,i rescued you,ill catch you                                            
4701,quiero intentarlo,i want to try,i want to go                                           
4711,estaba desarmado,i was unarmed,i was unpardonable                                            
4716,me fui de marcha,i went hiking,i went to on the                                          
4717,hice senderismo,i went hiking,i saw read                                            
4734,me voy a ir,ill be going,i go now                                            
4752,te echaré de menos,ill miss you,i miss just you miss                                          
4757,voy a parar a tom,ill stop tom,ill take tom                                            
4785,yo soy tranquilo,im easygoing,a fat                                             
4793,estoy horrorizado,im horrified,getting                                              
4816,no estoy enojada,im not angry,i agree                                             
4822,no estoy ebrio,im not drunk,not inspired                                             
4824,no voy,im not going,not come                                             
4826,yo no voy,im not going,not                                              
4832,no soy ingenuo,im not naive,not satisfied                                             
4847,tengo tanta hambre,im so hungry,got hungry                                             
4885,¿a poco,is that right,when really it                                            
4919,se ve bien,it looks good,he looks well                                            
4938,no dolerá,it wont hurt,not stop                                             
4945,es sábado,its saturday,its                                              
4973,es nuestro deber,its our duty,our                                              
4995,sólo un minuto,just a minute,just  have a minute                                          
5016,deje la llave,leave the key,leave the key                                            
5036,comamos fuera,lets eat out,lets eat back                                            
5040,vayámonos a casa,lets go home,were you yourself home                                           
5050,la vida es injusta,lifes unfair,life is fun                                            
5056,mira éstos,look at these,make out                                             
5069,haz tu cama,make your bed,read your show                                            
5081,la carne está escasa,meats scarce,mary is  concerned                                           
5088,me duele la cabeza,my head aches,got a headache                                            
5101,no sonreía nadie,nobody smiled,nobody to anyone                                            
5103,vale escucha,ok listen up,its amusing                                             
5108,quítate la capucha,open the hood,where hold your cupboard                                           
5115,tócalo de nuevo,play it again,were again                                             
5127,lee después de mí,read after me,read it by him                                           
5150,ella llegó última,she came last,she came by                                            
5152,ella puede patinar,she can skate,she has instantly                                            
5153,ella se enfadó,she got angry,she looks                                             
5169,ella es amable,she is gentle,she is aggressive                                            
5176,ella quiere a tom,she loves tom,she wants to                                            
5178,ella le quiere,she loves him,she likes him                                            
5188,ella se fue a casa,she went home,she went home back                                           
5190,está a dieta,shes dieting,its is on diet                                           
5191,ella es mi esposa,shes my wife,my is                                             
5201,hablad claramente,speak clearly,lets take get of                                           
5202,habla quedito,speak quietly,speak speaks                                             
5206,comienza a correr,start running,could you walk                                            
5215,empieza a escribir,start writing,start writing                                             
5244,toma un respiro,take a breath,take your                                             
5264,eso está mejor,thats better,this                                              
5278,eso es normal,thats normal,immoral                                              
5296,todos se marcharon,they all left,everyone all rose                                            
5331,ellas nos salvaron,they saved us,they saved                                             
5333,estarán bien,theyll be ok,were evil well                                            
5337,ellos son de tom,theyre toms,yours tom                                             
5342,ellos están despiertos,theyre awake,drunk                                              
5351,ellas van a irse,theyre going,try to                                             
5377,esto es un perro,this is a dog,this is a dog                                           
5384,es mi cd,this is my cd,this is my cousin                                           
5402,tom lo hace,tom does that,tom cried this                                            
5403,tom hizo ejercicio,tom exercised,tom became                                             
5416,tom tiene una vaca,tom has a cow,tom has a robot                                           
5452,tom está delgaducho,tom is skinny,tom is                                             
5461,tom se unió a nosotras,tom joined us,tom fooled angry                                            
5477,tom se quedó dormido,tom overslept,tom looked in                                            
5484,tom vaciló,tom staggered,tom clapped                                             
5485,tom se tambaleó,tom staggered,tom cried out                                            
5491,tom estaba distante,tom was aloof,tom was outstanding                                            
5493,tom estaba en la banca rota,tom was broke,tom was in the area                                          
5506,tom tuvo suerte,tom was lucky,tom looks                                             
5510,tomás era ingenuo,tom was naive,tom was ok                                            
5512,tom era veloz,tom was quick,tom was embarrassed                                            
5525,tom está cocinando,toms cooking,tom is shaking                                            
5526,tom está ayudando,toms helping,tom is                                             
5530,tom está atrapado,toms trapped,tom is                                             
5532,tomás es un cero a la izquierda,toms useless,its is tv on                                           
5534,tom es violento,toms violent,tom is naked                                            
5552,mira de cerca,watch closely,look at of                                            
5553,mira con atención,watch closely,stay together                                             
5564,ya nos podemos ir,we can go now,we like go                                            
5569,comemos a las seis,we eat at six,ill it by before                                           
5577,tenemos que irnos,we have to go,we have to                                            
5578,ayudamos a tom,we helped tom,we help tom                                            
5582,nos quedamos callados,we kept quiet,we remained silent                                            
5588,nunca hablamos,we never talk,i will brief                                            
5594,nosotros queremos ir,we want to go,we want to go                                           
5596,estábamos cerca,we were close,we were rose                                            
5623,estamos mentalizados,were psyched,were so                                             
5628,nos estamos hundiendo,were sinking,were being attacked                                            
5644,¿estabas ocupada,were you busy,were you busy                                            
5669,¿qué fue eso,what was that,what was that                                            
5679,¿dónde estábamos,where were we,where are you                                            
5681,¿cuál es la mía,which is mine,the is                                             
5702,¿quién está hablando,whos talking,this is                                             
5710,¿estás bien,you all right,are you all                                            
5720,¡tú puedes hacerlo,you can do it,can  i do that                                          
5748,tú nunca preguntas,you never ask,you never  much                                           
5749,pareces ocupado,you seem busy,you look busy                                            
5750,pareces ocupada,you seem busy,you were busy                                            
5776,sos inteligente,youre clever,                                              
5779,eres listo,youre clever,you are                                             
5786,eres mi hijo,youre my son,my enemy                                             
5791,estás dormido,youre sleepy,innocent                                              
5798,me tienes a mí,youve got me,just to me                                            
5811,¿aquí estoy seguro,am i safe here,i am you                                            
5817,¿estás dormido,are you asleep,are you                                             
5825,¿estás bromeando,are you joking,are you                                             
5832,¿no tienes calor,arent you hot,you smells                                             
5850,tráigamelo,bring it to me,get it in                                            
5862,¿me deja verles,can i see them,do you pick him                                           
5879,cierra la puerta,close the gate,close the                                             
5893,vamos háganlo,come on do it,come on up                                            
5910,¿acaso dijiste treinta,did you say 30,did you guess to me                                          
5919,hazlo de esta manera,do it this way,please this  yourself                                           
5926,¿te conocemos,do we know you,do you want him                                           
5934,¿me conoce usted,do you know me,do you hear me                                           
5936,¿te gusta,do you like it,do you like                                            
5948,¿duele esto,does this hurt,is this buy this                                           
5956,no se enfade,dont be angry,it stop back                                            
5961,no seas boludo,dont be silly,be a fool                                            
5962,no me culpes,dont blame me,i smoke me                                            
5966,no ayudes a tom,dont help tom,i tom                                             
5985,cómete todo,eat everything,were away everything                                            
6000,peleen como hombres,fight like men,got be lot friends                                           
6011,descansa un poco,get some sleep,look a an                                            
6027,buena suerte tom,good luck tom,good luck well                                            
6031,¡feliz año,happy new year,take a japan                                            
6060,él odiaba mentir,he hated lying,he spoke                                             
6070,él está arruinado,he is bankrupt,broke                                              
