,German text, Expected text,Predicted text
1751,bist du tom,are you tom,are you tom                                   
1772,sei gewappnet,be prepared,be careful                                    
1801,können wir reden,can we talk,can we talk us                                  
1808,kommen sie an bord,come aboard,be on                                    
1836,mach es noch einmal,do it again,do it again                                   
1840,tu es nicht,dont do it,do it                                    
1850,nicht schießen,dont shoot,be lying                                    
1859,machen sie sich keine gedanken,dont worry,get hurt                                    
1868,vergib tom,forgive tom,follow tom                                    
1893,gehen sie schlafen,go to sleep,do it sleep there                                  
1925,er hat mein alter,hes my age,my wife age                                   
1958,das nehme ich an,i assume so,i call it                                   
1967,ich kann nicht fliegen,i cant fly,i know how                                   
2022,ich mag kuchen,i like cake,i love white                                   
2023,ich mag katzen,i like cats,i like cats                                   
2103,ich will mehr,i want more,i want more                                   
2117,ich war glücklich,i was happy,i was happy                                   
2120,ich habe gelegen,i was lying,i have you                                   
2129,ich war bestürzt,i was upset,i was hungry                                   
2131,ich hatte unrecht,i was wrong,been wrong                                    
2193,ich bin kein lügner,im no liar,not am                                    
2206,ich bin in rente,im retired,close                                     
2216,ich bleibe,im staying,i be jump                                   
2230,ich habe pech,im unlucky,i is                                    
2240,ich hab’s,ive got it,i clapped                                    
2252,geht es tom gut,is tom well,is tom                                    
2274,ist das neu,is that new,is that your                                   
2291,es war dunkel,it was dark,it was dark                                   
2293,es wird in ordnung gehen,itll be ok,be going fine today                                  
2331,bewegen sie sich weiter,keep moving,keep out on                                   
2341,lasst uns loslegen,lets begin,lets us a                                   
2343,fangen wir an,lets begin,lets get                                    
2352,teilen wir uns auf,lets split,lets us                                    
2370,danke sehr,many thanks,keep your                                    
2376,geld regiert die welt,money talks,money book is the                                  
2385,keiner wusste bescheid,nobody knew,does knew know                                   
2397,komm bitte,please come,please go                                    
2527,tom rülpste,tom belched,tom is stuff                                   
2539,tom hat geschummelt,tom cheated,tom has clearly                                   
2556,tom grinste,tom grinned,tom is for                                   
2584,tom ist satt,tom is full,tom is honest                                   
2586,tom ist weg,tom is gone,tom is right                                   
2601,tom ist reich,tom is rich,tom is rich                                   
2609,tom ist groß,tom is tall,tom is tall patient                                  
2613,tom ist aufgeblasen,tom is vain,tom is a capricorn                                  
2642,tom sah ihn,tom saw him,tom was him                                   
2653,tom schwitzte,tom sweated,tom is off                                   
2668,tom war traurig,tom was sad,tom was annoying                                   
2672,tom wird anrufen,tomll call,tom will watching                                   
2720,mach ihn aus,turn it off,take him                                    
2768,wir haben es gestohlen,we stole it,we deserved evening                                   
2783,wir fangen an,well start,well sing                                    
2787,wir sind wach,were awake,were soulmates                                    
2808,wie langweilig,what a bore,tom will                                    
2821,wo ist er,where is it,where is he                                   
2847,wer hat angehalten,who stopped,who has not                                   
2863,holz schwimmt,wood floats,some one                                    
2864,arbeitet langsam,work slowly,smoking was angry                                   
2885,du musst gehen,you must go,you must go                                   
2907,du kommst spät,youre late,you alone                                    
2908,sie haben sich verirrt,youre lost,perfectly                                     
2943,sind wir allein,are we alone,were are alone                                   
2973,bist du krank,are you sick,are you sick                                   
3001,können sie kommen,can you come,can you come                                   
3026,melden sie sich,come forward,identify carefully                                    
3045,komm mit,come with me,come on                                    
3051,hör auf,cut that out,he out                                    
3064,hat tom gewählt,did tom vote,did tom remember                                   
3082,raucht ihr,do you smoke,do you guys smoke                                  
3083,rauchst du,do you smoke,are you meet it                                  
3085,lehrst du,do you teach,are you meet it                                  
3092,tu deine pflicht,do your duty,do your                                    
3106,steh nicht auf,dont get up,put up                                    
3168,er könnte sterben,he could die,he likes die                                   
3195,er ließ uns gehen,he let us go,he asked us                                   
3201,er scheint krank zu sein,he seems ill,he seems to be ill                                 
3205,er war mutig,he was brave,he was                                    
3214,er lag falsch,he was wrong,he was sick                                   
3217,er wird warten,he will wait,be                                     
3229,bitte sehr,here you are,please close a                                   
3270,ich kann nicht helfen,i cant help,i help you                                   
3271,ich kann mich nicht bewegen,i cant move,i stand                                    
3306,ich trinke milch,i drink milk,i keep                                    
3308,ich esse käse,i eat cheese,i love piano parties                                  
3315,mir gehts blendend,i feel great,i seems to                                   
3327,ich hasse tests,i hate tests,i hate raccoons                                   
3340,ich habe tom umarmt,i hugged tom,i was tom                                   
3346,ich ließ ihn los,i let him go,i hear him  once                                 
3354,ich mag frauen,i like women,i like white                                   
3372,ich muss mich sputen,i must hurry,i need to                                   
3398,ich nehme es an,i suppose so,i getting it                                   
3413,ich will arbeit,i want a job,i want to job                                  
3440,ich werde zurückkommen,ill be back,ill will back                                   
3464,ich werde nach hause gehen,ill go home,going  go home                                  
3479,ich bin vater,im a father,i am                                    
3482,ich bin jäger,im a hunter,a am dweller                                   
3493,ich bin künstlerisch veranlagt,im artistic,i am a japanese                                  
3519,ich bin obdachlos,im homeless,perfectly                                     
3547,ich bin mir nicht sicher,im not sure,i am i                                   
3561,das tut mir so leid,im so sorry,sorry   for                                  
3675,ich bins nur,its only me,just only show                                   
3682,das ist ja seltsam,its strange,this is strange                                   
3685,sie ist zu groß,its too big,she big                                    
3696,fahr weiter,keep driving,keep does get                                   
3698,suche weiter,keep looking,keep                                     
3733,lass mich los,let go of me,let go of a                                  
3740,lass mich nachdenken,let me think,lets to meet me                                  
3760,mach dass es aufhört,make it stop,do it try it                                  
3781,meine füße tun weh,my feet hurt,my hurt                                    
3784,mir tut die hüfte weh,my hip hurts,my    hurts                                 
3800,hebt das auf,pick that up,put it on                                   
3819,bitte lächeln,please smile,please us a                                   
3845,sie kennt mich,she knows me,she needs you                                   
3857,sollen wir lieber gehen,should we go,should we feel                                   
3887,nimm es weg,take it away,take it way                                   
3900,nochmals vielen dank,thanks again,you  ever many more                                 
3918,das ist richtig,thats right,this is accurate                                   
3922,sie sind dafür,they approve,you for                                    
3948,sie hielten an,they stopped,they picked her                                   
3980,das ist einfach,this is easy,simple                                     
4024,tom hat das getan,tom did this,tom do that                                   
4038,tom ist davongekommen,tom got away,tom is to back                                  
4061,tom hasste das,tom hated it,tom used it that                                  
4062,tom hasste es,tom hated it,tom has it                                   
4091,tom ist naiv,tom is naive,tom is strict                                   
4098,tom ist still,tom is quiet,tom is close                                   
4123,tom ist jung,tom is young,tom is young                                   
4138,tom hat uns geliebt,tom loved us,tom likes them                                   
4184,tom sagte es ihr,tom told her,tom said you do you                                 
4185,tom erzählte es ihm,tom told him,tom promised it to                                  
4188,tom verschwand,tom vanished,tom is disappeared  birds                                 
4195,tom war verschwunden,tom was gone,tom was feeling                                   
4225,tom ist schuldig,toms guilty,tom is likely                                   
4251,ratet mal,try to guess,give on                                    
4324,wir werden es bekommen,well get it,well get it there                                  
4334,wir weinen,were crying,were staying                                    
4344,willkommen zurück,welcome back,leave get                                    
4371,wer hörte zu,who listened,who has breakfast                                   
4383,wer will es,who wants it,who is it                                   
4437,ihr müsst essen,you must eat,you must eat                                   
4442,du machst mir angst,you scare me,of me                                    
4473,du lügst,youre lying,you are bit                                   
4490,du bist zäh,youre tough,tough                                     
4517,irgendwelche neuen witze,any new jokes,do people lot of time                                 
4521,sind sie beschäftigt,are they busy,are you at                                   
4533,bist du noch wach,are you awake,are you still up                                  
4590,können sie fahren,can you drive,can you see tom                                  
4593,könnt ihr stehen,can you stand,do you deny                                   
4617,ist tom ohnmächtig geworden,did tom faint,did tom gotten an                                  
4620,ist tom gegangen,did tom leave,did tom go                                   
4641,tut was ich sage,do what i say,what i  do                                  
4695,iss dein essen,eat your food,eat your food                                   
4696,esst euer essen,eat your food,what did your  eat                                 
4713,legt mal einen zahn zu,get a move on,send a an beer another                                 
4735,geht hinunter,go downstairs,she is not in                                  
4757,er ist erkältet,he has a cold,he is suffering from cold                                 
4782,er sieht gut aus,he looks well,he looks well                                   
4790,er schoss auf mich,he shot at me,he smiled me                                   
4807,er erblindete,he went blind,he fell blind a                                  
4813,er ist rechtsanwalt,hes a lawyer,he is a                                   
4866,ich bin ganz ohr,i am all ears,i am for                                   
4904,ich habe das hier herbeigeführt,i caused this,i have this                                   
4921,ich liebe dich wirklich,i do love you,i really you                                   
4925,ich trinke nicht,i dont drink,i understand                                    
4951,ich wurde nervös,i got nervous,i had nervous                                   
4952,ich habe grippe,i got the flu,i have hurts                                   
4982,ich bin gescheitert,i have failed,failed                                     
4992,ich habe es gerade getan,i just did it,i already done that                                  
5026,ich mag süßigkeiten,i like sweets,i like country                                   
5046,ich liebe pferde,i love horses,i love horses                                   
5059,ich habe eine liste gemacht,i made a list,i made a some apple                                 
5076,ich muss jetzt los,i must go now,i have to go now                                 
5078,ich muss mich weigern,i must refuse,i have to die                                  
5081,das muss ich sehen,i must see it,i to  see                                  
5132,ich hab’s dir ja gesagt,i told you so,i told you told                                  
5161,ich war auf der arbeit,i was at work,i work no job                                  
5169,ich war am lesen,i was reading,i was the                                   
5207,ich rufe dich,ill call you,coming for you                                   
5211,ich werde das bekommen,ill get this,i handle that                                   
5220,tom wird mir fehlen,ill miss tom,tom will be me                                  
5258,ich bin lehrer,im a teacher,an                                     
5266,ich bin ein künstler,im an artist,i am an artist                                  
5286,ich bin kaputt,im exhausted,in                                     
5324,ich bin allein,im on my own,alone with                                    
5331,ich sage nein,im saying no,i how to                                   
5344,ich bin sehr dünn,im very thin,very                                     
5348,ich habe noch mehr,ive got more,i work have                                   
5354,ich habe tom gesehen,ive seen tom,i saw tom                                   
5374,bin ich dran,is it my turn,am i right                                   
5393,gibt es noch mehr,is there more,is it time yet                                  
5395,ist das legal,is this legal,is this the right                                  
5407,er wird schlimmer,it gets worse,he is teaching                                   
5511,es ist zu laut,its too loud,its is empty                                   
5544,zieh leine,just get lost,speak you in                                   
5548,verzieht euch,just get lost,keep you                                    
5551,verschwinden sie einfach,just get lost,just get                                    
5552,verschwindet einfach,just get lost,just  it                                   
5553,nimm nur einen,just pick one,take a way                                   
5574,lasst tom schlafen,let tom sleep,leave tom bed                                   
5611,liebe ist blind,love is blind,he is a bit                                  
5631,meiner ist schwarz,mine is black,my is black                                   
5669,okay hör zu,ok listen up,hurry it will                                   
5678,öffnet das tor,open the gate,put these over                                   
5713,auf wiederschauen,see you again,go it on                                   
5771,sie macht eine diät,shes dieting,they will a                                   
5787,sprich leise,speak quietly,keep up the                                   
5843,das da ist in ordnung,that ones ok,ok fine                                    
5862,das ist eine fälschung,thats a fake,its is dress                                   
5872,das ist besser,thats better,its is                                    
5881,das ist meine katze,thats my cat,my is my cat                                  
5883,das ist mein hund,thats my dog,this is my dog                                  
5896,es besteht hoffnung,there is hope,it is                                    
5907,sie kennen tom,they know tom,you know tom                                   
5947,sie sind klein,theyre small,drunk                                     
5986,tom hat beifall gespendet,tom applauded,tom has an vile blog                                 
6001,tom kann auto fahren,tom can drive,tom is ride to bike car                                
6011,tom stimmte nicht zu,tom disagreed,tom get alone                                   
6019,tom trainiert,tom exercises,tom is using                                   
6031,tom schloss die schule ab,tom graduated,tom is at his elbow                                 
6050,tom hat pläne,tom has plans,tom got problems                                   
6061,tom ist ein narr,tom is a fool,tom is a feeling house                                 
6072,tom geht es besser,tom is better,tom is better                                   
6113,tom hat angst,tom is scared,tom is afraid                                   
6120,tom ist blöd,tom is stupid,tom is better                                   
6124,tom ist schlecht,tom is unwell,tom is feeling nauseous                                  
6159,tom ist vielleicht okay,tom may be ok,tom is important                                   
6231,tom war beschwipst,tom was tipsy,tom was invited                                   
6232,tom war angetrunken,tom was tipsy,tom was anxious                                   
6235,tom war verärgert,tom was upset,tom was annoyed                                   
6270,tom wurde adoptiert,toms adopted,tom loves invited                                   
6281,tom ist ohnmächtig geworden,toms fainted,tom became in                                   
6290,tom singt,toms singing,tom is singing                                   
6308,warte mal kurz,wait a moment,wait a sec                                   
6323,war tom glücklich,was tom happy,was tom was happy                                  
6326,war es ein scherz,was it a joke,was it a was                                  
6358,wir halfen tom,we helped tom,we respect tom                                   
6377,wir wollen süßigkeiten,we want candy,we want                                    
6392,wir werden tom bitten,well ask tom,well will tom  for                                 
6418,wir sind uns sicher,were certain,were perfectly safe                                   
6424,wir sind gerade auf diät,were dieting,we on a right  the now                               
6440,wir sind verheiratet,were married,we married                                    
6455,wir sind unglücklich,were unhappy,were desperate                                    
6464,wir machen uns sorgen,were worried,we us                                    
6466,wir sind da,weve arrived,were doing                                    
6533,wer ist auf diät,whos dieting,who is a  desk                                 
6537,wer fehlt,whos missing,what                                     
6557,du lügst,you are lying,you are bit                                   
6593,du musst arbeiten,you must work,you must be                                   
6630,sie machen wohl witze,youre joking,you look what like                                  
6631,sie belieben wohl zu scherzen,youre joking,funny well  too                                  
6637,du bist in meinem alter,youre my age,from good friend                                   
6645,ihr seid höflich,youre polite,arrogant                                     
6654,du bist so dumm,youre stupid,so stupid                                    
6682,sind das unsere,are these ours,are these our                                   
6693,stellen sie an,are you hiring,keep out                                    
6705,bist du junggeselle,are you single,are you wear                                   
6731,darf ich zuerst gehen,can i go first,may i go                                   
6798,hat tom das gekauft,did tom buy it,did tom buy that                                  
6810,sagtet ihr dreißig,did you say 30,do think you at tom                                 
6812,hast du es gesehen,did you see it,have you seen it                                  
6827,mach es selbst,do it yourself,do it                                    
6832,schnurren tiger,do tigers purr,snow it its the                                  
6838,leugnen sie,do you deny it,keep she                                    
6839,machst du yoga,do you do yoga,are you doing                                   
6863,vermisst du mich,do you miss me,do you see me                                  
6872,recycelt ihr,do you recycle,are you meet                                   
6903,gebt nicht an,dont show off,get a                                    
6925,genießen sie die vorführung,enjoy the show,enjoy the guys it                                  
6927,einen schönen tag wünsche ich dir,enjoy your day,i heard a  you i you i you                             
6945,hol mir was zu trinken,get me a drink,give me to me something                                 
6952,steigen sie in den bus ein,get on the bus,can you use the car                                 
6956,nun machen sie schon weiter,get on with it,will you have me to                                 
6983,geh wieder rein,go back inside,get in a bed                                  
6986,tue es tom,go for it tom,do tom for tom                                  
7019,er wäre beinahe gestorben,he almost died,he nearly angry his cancer                                 
7043,er trägt einen bart,he has a beard,he has a intelligent                                  
7057,er ist schauspieler,he is an actor,he is a teacher                                  
7065,er hält eine katze,he keeps a cat,he has a cat                                  
7073,er sieht gelangweilt aus,he looks bored,he looks nothing                                   
7086,er sieht glücklich aus,he seems happy,he is hard                                   
7091,er vertraute dir,he trusted you,he knows you                                   
7133,hallo zusammen,hello everyone,hello everyone                                    
7143,hier ist meine karte,heres my card,my is  room                                  
7175,wie wird sie gemacht,how is it made,how did you have you                                 
7196,ich bin ungar,i am hungarian,a am dweller                                   
7216,ich fing an zu weinen,i began to cry,i get cry                                   
7257,ich mag keine eier,i dislike eggs,i like coffee                                   
7270,ich habe vor nichts angst,i fear nothing,i afraid nothing                                   
7280,ich bin ihnen gefolgt,i followed you,just followed you                                   
7292,ich garantiere es,i guarantee it,i use it                                   
7308,ich kann fahren nicht ab,i hate driving,i stop                                    
7360,ich bin gerade angekommen,i just arrived,i arrived                                    
7363,ich habe ihn gerade getroffen,i just met him,i made him that                                  
7388,ich mag nudeln,i like noodles,i like country                                   
7426,ich fahre für mein leben gern,i love driving,i like really my things                                 
7456,ich darf nicht kommen,i may not come,i come                                    
7460,ich vermisse die universität,i miss college,i am the phone                                  
7471,ich muss um einen gefallen bitten,i need a favor,i have to ask a more                                
7477,ich benötige antworten,i need answers,i need this                                   
7480,ich brauche unterstützung,i need support,i need a                                   
7498,ich habe es tom versprochen,i promised tom,i promised tom                                   
7504,ich sagte raus,i said get out,i said get                                   
7506,ich sagte geh raus,i said get out,i said get out                                  
7537,ich nehme es zurück,i take it back,ill be it on right                                 
7543,ich machte eine pause,i took a break,i have a new picture                                 
7572,ich war am träumen,i was dreaming,i was fun bad                                  
7573,ich hatte heimweh,i was homesick,i was drinking                                   
7585,ich war nicht betrunken,i wasnt drunk,i studied funny                                   
7615,ich mache mich fertig,ill get ready,i get up                                   
7648,ich gehe zu fuß nach hause,ill walk home,i go back home                                  
7662,ich bin ein freier mann,im a free man,a am a  artist                                 
7671,ich bin ein gefangener,im a prisoner,i a                                    
7678,ich bin ein schwächling,im a weakling,i am a                                   
7688,mir ist auch langweilig,im bored too,very too alone                                   
7692,ich bin am boden zerstört,im devastated,in at by the                                  
7695,es geht mir gut,im doing fine,its fine                                    
7716,ich bin analphabet,im illiterate,i is pizzas                                   
7718,ich habe es eilig,im in a hurry,i have a little hurry                                 
7733,ich bin kein held,im not a hero,not am not                                   
7762,ich fühle mich ganz gut,im quite well,i feel good                                   
7763,ich bin ziemlich schüchtern,im rather shy,very an at traveled                                  
7791,ich bin sehr glücklich,im very happy,very happy                                    
7792,ich bin sehr klein,im very short,very kind                                    
7808,ich habe eintopf gemacht,ive made stew,i have                                    
7829,schläft er,is he sleeping,come the                                    
7844,ist das ein vogel,is that a bird,is this a interesting                                  
7845,ist das ein wink,is that a hint,is that a big                                  
7868,es muss aufhören,it has to stop,it to                                    
7876,es könnte wahr sein,it may be true,it could be true                                  
7889,das war meine idee,it was my idea,that idea my idea                                  
7937,er ist nagelneu,its brand new,he is unmarried                                   
8000,es ist wunderbar,its wonderful,its great amazing                                   
8008,du bist am zug,its your move,you to the                                   
8036,überlass das mir,leave it to me,make me to me                                  
8083,hör dir das an,listen to this,stop that                                    
8091,lauter bitte,louder please,please                                     
8125,männer sind doofköpfe,men are idiots,men are  beautiful                                  
8137,mir tut der kiefer weh,my jaw is sore,my head my  hurts                                 
8150,kein mensch wusste das,no one knew it,does tom knew that happen                                 
8160,davon hat mir niemand erzählt,nobody told me,no someone find of                                  
8170,begreifst du jetzt,now do you see,do you doing now                                  
8223,halt mir einen platz frei,save me a seat,give a little                                   
8227,die schule ist aus,school is over,the is well                                   
8244,sie rief ihn an,she called him,she him  other                                  
8245,sie kam allein,she came alone,she stood                                    
8254,sie gab ihm den laufpass,she dumped him,she taught to                                   
8259,sie ist erkältet,she has a cold,she is a very from a                                
8265,sie ist krankenpflegerin,she is a nurse,she is easygoing                                   
8266,sie ist unbeholfen,she is awkward,she is easygoing allowed                                  
8290,er fehlt ihr,she misses him,she is a                                   
8301,sie weinte,she was crying,they sister                                    
8306,sie ist ein engel,shes an angel,a is grew old                                  
8332,hört auf zu tratschen,stop gossiping,stop go catch to harder                                 
8355,lasst euch zeit,take your time,just have  time                                  
8368,raus mit der sprache,tell the truth,get out the language                                  
8372,das ist nicht tom,that isnt tom,not                                     
8389,das ist eine selbstverständlichkeit,thats a given,this is a country                                  
8391,das ist ein tisch,thats a table,a is a map                                  
8400,das ist quatsch,thats hogwash,nonsense                                     
8428,das ist so,thats the way,its is thing                                   
8437,das dach leckt,the roof leaks,the cars is effect                                  
8438,der tee ist heiß,the tea is hot,the coat is very                                  
8506,sie sind nicht ganz bei trost,theyre insane,not afraid of longer anymore                                 
8522,das ist ein buch,this is a book,this is a book                                  
8541,das ist mein vati,this is my dad,this is my yours                                  
8559,wirf es mir rüber,throw it to me,give it on way                                  
8566,würfeln sie,throw the dice,keep you                                    
8590,tom kann sich verändern,tom can change,tom is lose his                                  
8608,tom kocht gut,tom cooks well,tom is good at cooking                                 
8668,tom baut reis an,tom grows rice,tom will at every phone                                 
8695,tom hasst maria,tom hates mary,tom betrayed mary                                   
8753,tom fährt auto,tom is driving,tom is into car                                  
8772,tom ist hilfreich,tom is helpful,tom is overjoyed                                   
8781,tom hat schmerzen,tom is in pain,tom got crazy                                   
8806,tom ist obszön,tom is obscene,tom is a capricorn                                  
8807,tom hat dienst,tom is on duty,tom has his right                                  
8879,tom ist willkommen,tom is welcome,tom is in                                   
8915,tom ist nicht groß,tom isnt tall,tom is tall                                   
8919,tom ist nicht schwach,tom isnt weak,tom is                                    
8935,tom ließ mich gewinnen,tom let me win,tom tried me                                   
8936,tom hat mich angelogen,tom lied to me,tom asked to me                                  
8937,tom hat uns angelogen,tom lied to us,tom has to help                                  
8952,tom mag wein,tom likes wine,tom likes wine                                   
8977,tom liebt katzen,tom loves cats,tom loves touched                                   
8978,tom liebt hunde,tom loves dogs,tom has dogs                                   
8995,vielleicht weiß es tom,tom might know,maybe it should  tom                                 
9021,tom verlor das bewusstsein,tom passed out,tom lost  consciousness                                  
9023,tom hat mich gezwickt,tom pinched me,tom offered me something                                  
9031,tom stand auf um zu gehen,tom rose to go,tom stood himself at back home                                
9038,tom schien verrückt zu sein,tom seemed mad,tom seems to be                                  
9052,tom scheint krank zu sein,tom seems sick,tom seems to be                                  
9063,tom verschlief,tom slept late,tom is                                    
9082,tom spricht schnell,tom talks fast,tom speaks fast                                   
9086,tom machte sich notizen,tom took notes,tom smiled                                    
9087,tom ging risiken ein,tom took risks,tom slept off easily                                  
9149,tom wurde ausgeraubt,tom was robbed,tom was mugged                                   
9151,tom bekam es mit der angst zu tun,tom was scared,tom was scared to do  right                               
9168,tom war unverletzt,tom was unhurt,tom was anxious                                   
9188,tom wird schießen,tom will shoot,tom will amazing                                   
9204,tom wird nicht warten,tom wont wait,going                                     
9236,tom ist nicht hier,toms not here,tom is out                                   
9245,tom ist mittellos,toms stranded,tom is stranded                                   
9262,probieren sie diese soße,try this sauce,will these close box                                  
9271,hatte tom angst,was tom afraid,lucky was jealous                                   
9302,wir haben viel getrunken,we drank a lot,we drank a lot                                  
9329,wir lieben kaffee,we love coffee,we                                     
9347,wir haben tom ausgetrickst,we tricked tom,we prepared cause                                   
9361,wir waren sternhagelvoll,we were wasted,we got our                                   
9394,wir sind eine familie,were a family,we a  dog                                  
9410,wir sind genies,were geniuses,were plastered                                    
9419,wir sind nicht zu hause,were not home,we are home                                   
9426,wir sind einflussreich,were powerful,were plastered                                    
9427,man kann sich auf uns verlassen,were reliable,we should stop us                                  
9432,wir sind studenten,were students,were college                                    
9470,was wirst du tun,whatll you do,what are you going to do                                
9513,wer hat tom geküsst,who kissed tom,who did tom                                   
9514,wer weiß das,who knows that,who know that                                   
9526,wer hat es beseitigt,who removed it,who benefits this it                                  
9535,wer wird erfolg haben,wholl succeed,who succeed                                    
9564,warum ist er hier,why is it here,why is tom here                                  
9565,warum ist sie hier,why is it here,why is you here                                  
9575,ja ich weiß es,yes i know it,why it i it                                  
9576,ja natürlich,yes of course,lose is                                    
9604,du hast uns angelogen,you lied to us,you lied us                                   
9608,du siehst großartig aus,you look great,you look handsome                                   
9649,du wirst es gut machen,youll do fine,be are be                                   
9659,ihr seid unglaublich,youre amazing,incredible                                     
9663,ihr summt,youre humming,you                                     
9686,du bist mein typ,youre my type,my                                     
9701,du bist so faul,youre so lazy,boston are at                                   
9719,ihr seid wohlhabend,youre wealthy,you                                     
9757,ein fisch kann schwimmen,a fish can swim,even a used can                                  
9779,ist mit dir alles in ordnung tom,are you ok tom,is tom sure with you tom                                
9825,bist du mit uns,are you with us,are you us                                   
9840,frag mich morgen,ask me tomorrow,help me tomorrow                                   
9842,pass auf tom,be careful tom,take tom                                    
9865,bring ihn zu mir,bring him to me,please it to                                   
